name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
London City Smiles,"19-21 Islington High St, London N1 9LQ, United Kingdom",londoncitysmiles.com,+44 20 7837 2300,0,4.8,51.5035692,-0.2060364
Bond Dental London (MARYLEBONE),"62 Gloucester Pl, London W1U 8HW, United Kingdom",bonddental.co.uk,+44 20 7224 3566,0,4.8,51.5187035,-0.302271
tooth dental care,"26 Lower Marsh, London SE1 7RJ, United Kingdom",toothlondon.co.uk,+44 20 7928 2875,0,4.8,51.5187035,-0.302271
Dental Smiles London,"30-32 Chalton St, London NW1 1JB, United Kingdom",dentalsmileslondon.co.uk,+44 20 3757 5272,0,4.8,51.5187035,-0.302271
tooth dental care,"45-46 Lower Marsh, London SE1 7RG, United Kingdom",toothlondon.co.uk,+44 20 7928 2875,0,4.9,51.5187035,-0.302271
ODL Dental Clinic - Affordable Braces London,"Unit 1, Salisbury House, 31 Finsbury Circus, London EC2M 5QQ, United Kingdom",odldentalclinic.com,+44 20 7739 3345,0,4.9,51.5187035,-0.302271
NHS Dentist,"355 North End Rd, London SW6 1NW, United Kingdom",nhsdentist.com,+44 20 7610 1110,0,4.7,51.5187035,-0.302271
The Dental Centre London,"139 Euston Rd., London NW1 2AA, United Kingdom",thedentalcentrelondon.com,+44 20 7380 0034,0,4.7,51.5187035,-0.302271
Dental Care Centre,"195 New Cross Rd, London SE14 5DG, United Kingdom",dentalcarecentreuk.co.uk,+44 20 7639 3323,0,4.7,51.4745948,-0.1899664
London Bridge Dental Practice,"108-110 Tooley St, London SE1 2TH, United Kingdom",lbdp.co.uk,+44 20 7407 1920,0,4.8,51.4745948,-0.1899664
The Dental Surgery,"55 Mark Ln, London EC3R 7NE, United Kingdom",thedentalsurgery.co.uk,+44 20 7680 1800,0,4.9,51.4745948,-0.1899664
Harley Street Dental & Implant Clinic,"55 Mark Ln, London EC3R 7NE, United Kingdom",thedentalsurgery.co.uk,+44 20 7680 1800,0,4.9,51.4745948,-0.1899664
London Dental Centre,"109 Lever St, London EC1V 3RQ, United Kingdom",thelondondentalcentre.co.uk,+44 20 3667 7070,0,4.8,51.4745948,-0.1899664
